unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,BTC/USD,38577.47,38731.47,38469.48,38515.21,29.29556266,1128324.747918059,2022-05-02
1651528800000,2022-05-02 22:00:00,BTC/USD,38628.21,38887.66,38560.86,38577.47,25.49558584,983555.1978750248,2022-05-02
1651525200000,2022-05-02 21:00:00,BTC/USD,38311.64,38735.94,38266.8,38628.21,35.89234753,1386457.1377818214,2022-05-02
1651521600000,2022-05-02 20:00:00,BTC/USD,38542.94,38593.98,38298.14,38311.64,16.27034969,623343.7799973916,2022-05-02
1651518000000,2022-05-02 19:00:00,BTC/USD,38201.7,38585.32,38158.89,38542.94,45.11138182,1738725.2828053508,2022-05-02
1651514400000,2022-05-02 18:00:00,BTC/USD,38360.27,38440.57,38051.6,38201.7,48.99876362,1871836.0681821536,2022-05-02
1651510800000,2022-05-02 17:00:00,BTC/USD,38554.84,38629.18,38205.86,38360.27,57.39286694,2201605.8718924737,2022-05-02
1651507200000,2022-05-02 16:00:00,BTC/USD,38682.93,38845.47,38520.45,38554.84,51.34597253,1979635.7555385449,2022-05-02
1651503600000,2022-05-02 15:00:00,BTC/USD,38820.12,38883.57,38595.77,38682.93,56.11763167,2170794.4176563933,2022-05-02
1651500000000,2022-05-02 14:00:00,BTC/USD,38904.14,39115.2,38611.32,38820.12,99.06256347,3845620.6014130167,2022-05-02
1651496400000,2022-05-02 13:00:00,BTC/USD,38492.39,39175.0,38245.54,38904.14,78.78346179,3065002.8271628106,2022-05-02
1651492800000,2022-05-02 12:00:00,BTC/USD,38521.52,38686.06,38421.01,38492.39,32.62285221,1255731.5501796815,2022-05-02
1651489200000,2022-05-02 11:00:00,BTC/USD,38700.98,38749.98,38476.1,38521.52,26.99491433,1039885.1322613816,2022-05-02
1651485600000,2022-05-02 10:00:00,BTC/USD,38777.8,38854.42,38660.15,38700.98,29.07958114,1125408.2881075172,2022-05-02
1651482000000,2022-05-02 09:00:00,BTC/USD,38926.11,39067.08,38768.11,38777.8,34.95132194,1355335.371924932,2022-05-02
1651478400000,2022-05-02 08:00:00,BTC/USD,38867.52,38996.33,38783.39,38926.11,51.36293863,1999359.399034629,2022-05-02
1651474800000,2022-05-02 07:00:00,BTC/USD,38933.02,39029.02,38828.98,38867.52,27.54322348,1070536.7894733695,2022-05-02
1651471200000,2022-05-02 06:00:00,BTC/USD,39008.57,39163.11,38931.48,38933.02,26.50178241,1031794.4246041782,2022-05-02
1651467600000,2022-05-02 05:00:00,BTC/USD,38974.2,39027.89,38875.79,39008.57,49.57071843,1933682.839826945,2022-05-02
1651464000000,2022-05-02 04:00:00,BTC/USD,38666.89,39101.11,38611.91,38974.2,54.8225792,2136666.16625664,2022-05-02
1651460400000,2022-05-02 03:00:00,BTC/USD,38607.93,38704.7,38607.93,38666.89,20.33595446,786328.1141498294,2022-05-02
1651456800000,2022-05-02 02:00:00,BTC/USD,38504.47,38645.79,38394.94,38607.93,12.46200654,481132.2761558623,2022-05-02
1651453200000,2022-05-02 01:00:00,BTC/USD,38656.76,38734.25,38492.92,38504.47,8.55435773,329381.0105840531,2022-05-02
1651449600000,2022-05-02 00:00:00,BTC/USD,38481.69,38800.0,38468.6,38656.76,25.22422123,975086.6662750148,2022-05-02
