unix,date,symbol,open,high,low,close,Volume ALCX,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,ALCX/USD,63.23,64.85,63.14,64.56,6.278136,405.31646016,2022-05-01
1651442400000,2022-05-01 22:00:00,ALCX/USD,62.81,63.23,62.55,63.23,66.679113,4216.12031499,2022-05-01
1651438800000,2022-05-01 21:00:00,ALCX/USD,66.48,69.25,62.81,62.81,41.489568,2605.95976608,2022-05-01
1651435200000,2022-05-01 20:00:00,ALCX/USD,66.36,67.09,65.88,66.48,5.282354,351.17089392,2022-05-01
1651431600000,2022-05-01 19:00:00,ALCX/USD,66.67,68.0,64.5,66.36,32.67965,2168.621574,2022-05-01
1651428000000,2022-05-01 18:00:00,ALCX/USD,69.92,70.47,66.66,66.67,7.165482,477.72268494,2022-05-01
1651424400000,2022-05-01 17:00:00,ALCX/USD,64.26,75.14,63.84,69.92,377.386074,26386.83429408,2022-05-01
1651420800000,2022-05-01 16:00:00,ALCX/USD,63.42,64.32,63.32,64.26,799.545796,51378.81285096001,2022-05-01
1651417200000,2022-05-01 15:00:00,ALCX/USD,62.53,63.76,62.35,63.42,229.43894,14551.0175748,2022-05-01
1651413600000,2022-05-01 14:00:00,ALCX/USD,62.45,62.76,62.45,62.53,2.81291,175.8912623,2022-05-01
1651410000000,2022-05-01 13:00:00,ALCX/USD,62.48,64.45,62.44,62.45,525.982428,32847.602628600005,2022-05-01
1651406400000,2022-05-01 12:00:00,ALCX/USD,62.14,62.61,62.14,62.48,18.629476,1163.96966048,2022-05-01
1651402800000,2022-05-01 11:00:00,ALCX/USD,62.15,62.39,61.71,62.14,42.952825,2669.0885455,2022-05-01
1651399200000,2022-05-01 10:00:00,ALCX/USD,62.24,62.31,62.07,62.15,0.087191,5.41892065,2022-05-01
1651395600000,2022-05-01 09:00:00,ALCX/USD,62.7,62.71,62.01,62.24,16.912142,1052.61171808,2022-05-01
1651392000000,2022-05-01 08:00:00,ALCX/USD,62.9,63.27,62.62,62.7,48.728776,3055.2942552000004,2022-05-01
1651388400000,2022-05-01 07:00:00,ALCX/USD,63.53,63.53,62.9,62.9,72.990509,4591.1030161,2022-05-01
1651384800000,2022-05-01 06:00:00,ALCX/USD,64.0,64.06,63.53,63.53,29.385012,1866.82981236,2022-05-01
1651381200000,2022-05-01 05:00:00,ALCX/USD,63.64,64.19,63.63,64.0,10.695843,684.533952,2022-05-01
1651377600000,2022-05-01 04:00:00,ALCX/USD,64.02,64.11,63.51,63.64,23.974795,1525.7559538,2022-05-01
1651374000000,2022-05-01 03:00:00,ALCX/USD,63.62,64.31,63.52,64.02,65.864075,4216.6180815,2022-05-01
1651370400000,2022-05-01 02:00:00,ALCX/USD,64.0,64.0,63.52,63.62,50.951778,3241.55211636,2022-05-01
1651366800000,2022-05-01 01:00:00,ALCX/USD,63.36,64.09,63.03,64.0,77.814466,4980.125824,2022-05-01
1651363200000,2022-05-01 00:00:00,ALCX/USD,63.53,64.16,63.34,63.36,119.936158,7599.15497088,2022-05-01
