unix,date,symbol,open,high,low,close,Volume ASH,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0,2022-05-03
1651615200000,2022-05-03 22:00:00,ASH/USD,5.06,5.08,5.036,5.08,1.028842,5.22651736,2022-05-03
1651611600000,2022-05-03 21:00:00,ASH/USD,5.08,5.08,5.06,5.06,0.152363,0.7709567799999999,2022-05-03
1651608000000,2022-05-03 20:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0,2022-05-03
1651604400000,2022-05-03 19:00:00,ASH/USD,5.08,5.08,5.08,5.08,8.0,40.64,2022-05-03
1651600800000,2022-05-03 18:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0,2022-05-03
1651597200000,2022-05-03 17:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0,2022-05-03
1651593600000,2022-05-03 16:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0,2022-05-03
1651590000000,2022-05-03 15:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.0,0.0,2022-05-03
1651586400000,2022-05-03 14:00:00,ASH/USD,5.08,5.08,5.08,5.08,0.081056,0.41176448,2022-05-03
1651582800000,2022-05-03 13:00:00,ASH/USD,5.085,5.085,5.08,5.08,19.644055,99.79179940000002,2022-05-03
1651579200000,2022-05-03 12:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0,2022-05-03
1651575600000,2022-05-03 11:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0,2022-05-03
1651572000000,2022-05-03 10:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0,2022-05-03
1651568400000,2022-05-03 09:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0,2022-05-03
1651564800000,2022-05-03 08:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0,2022-05-03
1651561200000,2022-05-03 07:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0,2022-05-03
1651557600000,2022-05-03 06:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0,2022-05-03
1651554000000,2022-05-03 05:00:00,ASH/USD,5.085,5.085,5.085,5.085,0.0,0.0,2022-05-03
1651550400000,2022-05-03 04:00:00,ASH/USD,5.09,5.09,5.085,5.085,0.15349,0.7804966499999999,2022-05-03
1651546800000,2022-05-03 03:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0,2022-05-03
1651543200000,2022-05-03 02:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0,2022-05-03
1651539600000,2022-05-03 01:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0,2022-05-03
1651536000000,2022-05-03 00:00:00,ASH/USD,5.09,5.09,5.09,5.09,0.0,0.0,2022-05-03
