unix,date,symbol,open,high,low,close,Volume ANKR,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,ANKR/USD,0.06218,0.06286,0.06214,0.06243,31434.947374,1962.48376455882,2022-05-02
1651528800000,2022-05-02 22:00:00,ANKR/USD,0.06242,0.06287,0.06206,0.06218,12598.747035,783.3900906363,2022-05-02
1651525200000,2022-05-02 21:00:00,ANKR/USD,0.06152,0.06242,0.06127,0.06242,24876.502264,1552.79127131888,2022-05-02
1651521600000,2022-05-02 20:00:00,ANKR/USD,0.06194,0.06194,0.06137,0.06152,8304.961465,510.9212293268,2022-05-02
1651518000000,2022-05-02 19:00:00,ANKR/USD,0.06107,0.06194,0.06094,0.06194,1932.116532,119.67529799208,2022-05-02
1651514400000,2022-05-02 18:00:00,ANKR/USD,0.06105,0.06136,0.06032,0.06107,2746.779367,167.74581594269,2022-05-02
1651510800000,2022-05-02 17:00:00,ANKR/USD,0.062,0.06214,0.06047,0.06105,3515.660684,214.6310847582,2022-05-02
1651507200000,2022-05-02 16:00:00,ANKR/USD,0.06256,0.06276,0.06198,0.062,8125.192378,503.761927436,2022-05-02
1651503600000,2022-05-02 15:00:00,ANKR/USD,0.06276,0.06293,0.06237,0.06256,2876.496266,179.95360640096,2022-05-02
1651500000000,2022-05-02 14:00:00,ANKR/USD,0.06265,0.06334,0.06195,0.06276,24140.47566,1515.0562524216,2022-05-02
1651496400000,2022-05-02 13:00:00,ANKR/USD,0.06171,0.06276,0.06133,0.06265,9810.743907,614.64310577355,2022-05-02
1651492800000,2022-05-02 12:00:00,ANKR/USD,0.06155,0.06224,0.06126,0.06171,41723.747281,2574.77244471051,2022-05-02
1651489200000,2022-05-02 11:00:00,ANKR/USD,0.06178,0.06186,0.0612,0.06155,15866.801838,976.6016531289,2022-05-02
1651485600000,2022-05-02 10:00:00,ANKR/USD,0.06251,0.06251,0.06171,0.06178,6011.030762,371.36148047636,2022-05-02
1651482000000,2022-05-02 09:00:00,ANKR/USD,0.0632,0.06321,0.06251,0.06251,2224.693501,139.06559074751002,2022-05-02
1651478400000,2022-05-02 08:00:00,ANKR/USD,0.0636,0.06381,0.06281,0.0632,1227.590861,77.5837424152,2022-05-02
1651474800000,2022-05-02 07:00:00,ANKR/USD,0.06392,0.06416,0.0636,0.0636,682.728257,43.4215171452,2022-05-02
1651471200000,2022-05-02 06:00:00,ANKR/USD,0.06437,0.06462,0.06392,0.06392,1325.41383,84.72045201360001,2022-05-02
1651467600000,2022-05-02 05:00:00,ANKR/USD,0.06435,0.06437,0.06405,0.06437,14219.257428,915.29360064036,2022-05-02
1651464000000,2022-05-02 04:00:00,ANKR/USD,0.06399,0.06437,0.06367,0.06435,1040.403214,66.9499468209,2022-05-02
1651460400000,2022-05-02 03:00:00,ANKR/USD,0.06393,0.06417,0.06378,0.06399,186839.657886,11955.86970812514,2022-05-02
1651456800000,2022-05-02 02:00:00,ANKR/USD,0.06369,0.06393,0.06334,0.06393,32360.522441,2068.80819965313,2022-05-02
1651453200000,2022-05-02 01:00:00,ANKR/USD,0.06367,0.06436,0.06367,0.06369,1654.727835,105.38961581115,2022-05-02
1651449600000,2022-05-02 00:00:00,ANKR/USD,0.06366,0.06415,0.06336,0.06367,23327.031103,1485.2320703280102,2022-05-02
