unix,date,symbol,open,high,low,close,Volume AUDIO,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,AUDIO/USD,0.839,0.856,0.839,0.84,19614.155202,16475.89036968,2022-05-02
1651528800000,2022-05-02 22:00:00,AUDIO/USD,0.849,0.856,0.838,0.839,4597.702688,3857.472555232,2022-05-02
1651525200000,2022-05-02 21:00:00,AUDIO/USD,0.831,0.85,0.828,0.849,2274.256657,1930.843901793,2022-05-02
1651521600000,2022-05-02 20:00:00,AUDIO/USD,0.847,0.847,0.83,0.831,2033.46625,1689.81045375,2022-05-02
1651518000000,2022-05-02 19:00:00,AUDIO/USD,0.836,0.847,0.833,0.847,315.617682,267.328176654,2022-05-02
1651514400000,2022-05-02 18:00:00,AUDIO/USD,0.825,0.841,0.82,0.836,5452.530233,4558.315274788,2022-05-02
1651510800000,2022-05-02 17:00:00,AUDIO/USD,0.846,0.846,0.822,0.825,2080.778806,1716.6425149499998,2022-05-02
1651507200000,2022-05-02 16:00:00,AUDIO/USD,0.849,0.852,0.844,0.846,351.471735,297.34508781,2022-05-02
1651503600000,2022-05-02 15:00:00,AUDIO/USD,0.852,0.855,0.841,0.849,3712.245606,3151.696519494,2022-05-02
1651500000000,2022-05-02 14:00:00,AUDIO/USD,0.862,0.862,0.847,0.852,416.981829,355.268518308,2022-05-02
1651496400000,2022-05-02 13:00:00,AUDIO/USD,0.838,0.863,0.835,0.862,3067.401019,2644.099678378,2022-05-02
1651492800000,2022-05-02 12:00:00,AUDIO/USD,0.841,0.853,0.835,0.838,261.735802,219.334602076,2022-05-02
1651489200000,2022-05-02 11:00:00,AUDIO/USD,0.841,0.843,0.837,0.841,1469.657622,1235.982060102,2022-05-02
1651485600000,2022-05-02 10:00:00,AUDIO/USD,0.858,0.858,0.841,0.841,297.469715,250.172030315,2022-05-02
1651482000000,2022-05-02 09:00:00,AUDIO/USD,0.867,0.878,0.858,0.858,53.368979,45.790583982,2022-05-02
1651478400000,2022-05-02 08:00:00,AUDIO/USD,0.88,0.885,0.865,0.867,220.603356,191.263109652,2022-05-02
1651474800000,2022-05-02 07:00:00,AUDIO/USD,0.883,0.891,0.88,0.88,7883.111479,6937.13810152,2022-05-02
1651471200000,2022-05-02 06:00:00,AUDIO/USD,0.891,0.893,0.883,0.883,301.161428,265.925540924,2022-05-02
1651467600000,2022-05-02 05:00:00,AUDIO/USD,0.895,0.897,0.886,0.891,898.832886,800.860101426,2022-05-02
1651464000000,2022-05-02 04:00:00,AUDIO/USD,0.883,0.895,0.876,0.895,753.362087,674.259067865,2022-05-02
1651460400000,2022-05-02 03:00:00,AUDIO/USD,0.866,0.888,0.866,0.883,748.136305,660.604357315,2022-05-02
1651456800000,2022-05-02 02:00:00,AUDIO/USD,0.862,0.866,0.854,0.866,941.747289,815.553152274,2022-05-02
1651453200000,2022-05-02 01:00:00,AUDIO/USD,0.881,0.884,0.861,0.862,979.648185,844.45673547,2022-05-02
1651449600000,2022-05-02 00:00:00,AUDIO/USD,0.888,0.892,0.879,0.881,1139.288193,1003.712898033,2022-05-02
