unix,date,symbol,open,high,low,close,Volume ENJ,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,ENJ/USD,1.0653,1.0817,1.0639,1.072,15789.118513,16925.935045936,2022-05-02
1651528800000,2022-05-02 22:00:00,ENJ/USD,1.0652,1.0756,1.0608,1.0653,2825.94007,3010.473956571,2022-05-02
1651525200000,2022-05-02 21:00:00,ENJ/USD,1.0397,1.0656,1.0374,1.0652,5130.839564,5465.3703035728,2022-05-02
1651521600000,2022-05-02 20:00:00,ENJ/USD,1.0527,1.0535,1.0397,1.0397,442.581973,460.1524773281,2022-05-02
1651518000000,2022-05-02 19:00:00,ENJ/USD,1.0337,1.0529,1.0336,1.0527,2546.897468,2681.1189645636,2022-05-02
1651514400000,2022-05-02 18:00:00,ENJ/USD,1.0261,1.0404,1.0207,1.0337,4534.666146,4687.4843951202,2022-05-02
1651510800000,2022-05-02 17:00:00,ENJ/USD,1.0487,1.0487,1.018,1.0261,18993.023154,19488.7410583194,2022-05-02
1651507200000,2022-05-02 16:00:00,ENJ/USD,1.0623,1.0646,1.0487,1.0487,1741.766532,1826.5905621084,2022-05-02
1651503600000,2022-05-02 15:00:00,ENJ/USD,1.0644,1.0696,1.0561,1.0623,2551.782411,2710.7584552053004,2022-05-02
1651500000000,2022-05-02 14:00:00,ENJ/USD,1.0639,1.0738,1.0491,1.0644,17516.094478,18644.1309623832,2022-05-02
1651496400000,2022-05-02 13:00:00,ENJ/USD,1.0411,1.0665,1.037,1.0639,3642.009149,3874.733533621101,2022-05-02
1651492800000,2022-05-02 12:00:00,ENJ/USD,1.044,1.0598,1.0411,1.0411,2301.107339,2395.6828506329,2022-05-02
1651489200000,2022-05-02 11:00:00,ENJ/USD,1.0616,1.0624,1.04,1.044,3912.699692,4084.858478448,2022-05-02
1651485600000,2022-05-02 10:00:00,ENJ/USD,1.0702,1.0707,1.0558,1.0616,347.242971,368.6331380136001,2022-05-02
1651482000000,2022-05-02 09:00:00,ENJ/USD,1.0795,1.0838,1.068,1.0702,326.32184,349.229633168,2022-05-02
1651478400000,2022-05-02 08:00:00,ENJ/USD,1.0957,1.1,1.0777,1.0795,9558.859469,10318.7887967855,2022-05-02
1651474800000,2022-05-02 07:00:00,ENJ/USD,1.1,1.1055,1.0957,1.0957,422.280472,462.6927131704,2022-05-02
1651471200000,2022-05-02 06:00:00,ENJ/USD,1.106,1.1114,1.1,1.1,996.086486,1095.6951346,2022-05-02
1651467600000,2022-05-02 05:00:00,ENJ/USD,1.1021,1.106,1.0974,1.106,143.531055,158.74534683000002,2022-05-02
1651464000000,2022-05-02 04:00:00,ENJ/USD,1.09,1.1041,1.0811,1.1021,5291.186193,5831.4163033053,2022-05-02
1651460400000,2022-05-02 03:00:00,ENJ/USD,1.0879,1.0929,1.0879,1.09,88.982621,96.99105689,2022-05-02
1651456800000,2022-05-02 02:00:00,ENJ/USD,1.0911,1.0911,1.0814,1.0879,1416.799525,1541.3362032475,2022-05-02
1651453200000,2022-05-02 01:00:00,ENJ/USD,1.1016,1.1077,1.0911,1.0911,823.589014,898.6179731754,2022-05-02
1651449600000,2022-05-02 00:00:00,ENJ/USD,1.0957,1.1152,1.0925,1.1016,15261.98564,16812.603381024,2022-05-02
