unix,date,symbol,open,high,low,close,Volume APE,Volume USD,just_date
1651359600000,2022-04-30 23:00:00,APE/USD,20.093,20.605,19.307,20.008,52271.379986,1045845.770759888,2022-04-30
1651356000000,2022-04-30 22:00:00,APE/USD,20.357,21.384,20.016,20.093,36691.177083,737235.821128719,2022-04-30
1651352400000,2022-04-30 21:00:00,APE/USD,21.605,21.605,20.012,20.357,44575.409253,907421.606163321,2022-04-30
1651348800000,2022-04-30 20:00:00,APE/USD,22.172,22.508,21.5,21.605,10642.262427,229926.079735335,2022-04-30
1651345200000,2022-04-30 19:00:00,APE/USD,21.614,22.336,21.527,22.172,20181.673355,447468.06162706,2022-04-30
1651341600000,2022-04-30 18:00:00,APE/USD,21.548,22.032,21.072,21.614,12031.192274,260042.18981023604,2022-04-30
1651338000000,2022-04-30 17:00:00,APE/USD,21.193,22.224,20.825,21.548,18537.691443,399450.175213764,2022-04-30
1651334400000,2022-04-30 16:00:00,APE/USD,21.87,21.87,20.848,21.193,17559.948108,372147.9802528441,2022-04-30
1651330800000,2022-04-30 15:00:00,APE/USD,21.742,22.392,21.556,21.87,39565.744265,865302.8270755501,2022-04-30
1651327200000,2022-04-30 14:00:00,APE/USD,23.041,23.459,21.688,21.742,68657.839984,1492758.7569321282,2022-04-30
1651323600000,2022-04-30 13:00:00,APE/USD,23.815,24.558,22.964,23.041,45570.713387,1049994.807149867,2022-04-30
1651320000000,2022-04-30 12:00:00,APE/USD,22.956,23.815,22.883,23.815,31864.905523,758862.725030245,2022-04-30
1651316400000,2022-04-30 11:00:00,APE/USD,22.506,23.522,22.49,22.956,18031.139192,413922.83129155193,2022-04-30
1651312800000,2022-04-30 10:00:00,APE/USD,23.285,23.909,22.49,22.506,26119.255756,587839.9700445359,2022-04-30
1651309200000,2022-04-30 09:00:00,APE/USD,23.641,23.972,23.129,23.285,20043.94836,466723.3375626,2022-04-30
1651305600000,2022-04-30 08:00:00,APE/USD,24.173,24.268,22.803,23.641,37340.415042,882764.7520079219,2022-04-30
1651302000000,2022-04-30 07:00:00,APE/USD,24.876,25.529,23.823,24.173,44856.262548,1084310.4345728038,2022-04-30
1651298400000,2022-04-30 06:00:00,APE/USD,23.134,24.99,23.088,24.876,55387.715699,1377824.815728324,2022-04-30
1651294800000,2022-04-30 05:00:00,APE/USD,22.919,23.54,22.785,23.134,32361.841189,748658.834066326,2022-04-30
1651291200000,2022-04-30 04:00:00,APE/USD,22.697,23.155,21.935,22.919,32338.608625,741168.5710763751,2022-04-30
1651287600000,2022-04-30 03:00:00,APE/USD,22.946,23.027,21.589,22.697,70022.093809,1589291.4631828729,2022-04-30
1651284000000,2022-04-30 02:00:00,APE/USD,20.586,23.378,20.545,22.946,91575.030195,2101280.6428544703,2022-04-30
1651280400000,2022-04-30 01:00:00,APE/USD,20.042,20.787,19.873,20.586,34691.365323,714156.4465392779,2022-04-30
1651276800000,2022-04-30 00:00:00,APE/USD,19.147,20.064,19.131,20.042,54517.343782,1092636.6040788442,2022-04-30
