unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,DOGE/USD,0.13106,0.1314,0.13058,0.13072,256593.499342,33541.90223398624,2022-05-02
1651528800000,2022-05-02 22:00:00,DOGE/USD,0.13112,0.13227,0.13093,0.13106,130416.470935,17092.382680741102,2022-05-02
1651525200000,2022-05-02 21:00:00,DOGE/USD,0.13035,0.13126,0.13023,0.13112,476437.249925,62470.452210166,2022-05-02
1651521600000,2022-05-02 20:00:00,DOGE/USD,0.1308,0.13093,0.1303,0.13035,250075.838208,32597.3855104128,2022-05-02
1651518000000,2022-05-02 19:00:00,DOGE/USD,0.12899,0.13102,0.12899,0.1308,451290.41577,59028.786382716,2022-05-02
1651514400000,2022-05-02 18:00:00,DOGE/USD,0.1283,0.12913,0.12758,0.12899,285421.215673,36816.48260966027,2022-05-02
1651510800000,2022-05-02 17:00:00,DOGE/USD,0.12994,0.12994,0.12771,0.1283,176386.569728,22630.3968961024,2022-05-02
1651507200000,2022-05-02 16:00:00,DOGE/USD,0.13014,0.13107,0.12994,0.12994,253267.144799,32909.53279518206,2022-05-02
1651503600000,2022-05-02 15:00:00,DOGE/USD,0.13047,0.13081,0.13002,0.13014,175935.601854,22896.25922527956,2022-05-02
1651500000000,2022-05-02 14:00:00,DOGE/USD,0.13093,0.13152,0.12968,0.13047,141913.825922,18515.496868043338,2022-05-02
1651496400000,2022-05-02 13:00:00,DOGE/USD,0.12974,0.13197,0.12877,0.13093,769793.091471,100789.00946629804,2022-05-02
1651492800000,2022-05-02 12:00:00,DOGE/USD,0.12994,0.13063,0.12973,0.12974,102367.725348,13281.18868664952,2022-05-02
1651489200000,2022-05-02 11:00:00,DOGE/USD,0.1312,0.13123,0.12973,0.12994,123363.525134,16029.85645591196,2022-05-02
1651485600000,2022-05-02 10:00:00,DOGE/USD,0.13072,0.13166,0.13061,0.1312,39391.202265,5168.125737168,2022-05-02
1651482000000,2022-05-02 09:00:00,DOGE/USD,0.13137,0.13163,0.13063,0.13072,94538.347746,12358.05281735712,2022-05-02
1651478400000,2022-05-02 08:00:00,DOGE/USD,0.13178,0.13205,0.13091,0.13137,133142.469922,17490.92627365314,2022-05-02
1651474800000,2022-05-02 07:00:00,DOGE/USD,0.13242,0.1326,0.13178,0.13178,22920.443201,3020.45600502778,2022-05-02
1651471200000,2022-05-02 06:00:00,DOGE/USD,0.13362,0.13362,0.13235,0.13242,125461.035822,16613.550363549242,2022-05-02
1651467600000,2022-05-02 05:00:00,DOGE/USD,0.13276,0.13387,0.1325,0.13362,298715.469605,39914.36104862009,2022-05-02
1651464000000,2022-05-02 04:00:00,DOGE/USD,0.13226,0.1333,0.13179,0.13276,42272.010048,5612.032053972479,2022-05-02
1651460400000,2022-05-02 03:00:00,DOGE/USD,0.13224,0.13257,0.13202,0.13226,254399.15211,33646.831858068595,2022-05-02
1651456800000,2022-05-02 02:00:00,DOGE/USD,0.13152,0.13224,0.13141,0.13224,85021.488863,11243.24168724312,2022-05-02
1651453200000,2022-05-02 01:00:00,DOGE/USD,0.13324,0.13345,0.13151,0.13152,129013.142546,16967.80850764992,2022-05-02
1651449600000,2022-05-02 00:00:00,DOGE/USD,0.13281,0.1339,0.13264,0.13324,189004.748396,25182.99267628304,2022-05-02
