unix,date,symbol,open,high,low,close,Volume 1INCH,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,1INCH/USD,1.1822,1.1886,1.1725,1.1752,1876.507613,2205.2717467976,2022-05-02
1651528800000,2022-05-02 22:00:00,1INCH/USD,1.2287,1.2287,1.1801,1.1822,2435.18799,2878.879241778,2022-05-02
1651525200000,2022-05-02 21:00:00,1INCH/USD,1.2103,1.2466,1.1959,1.2287,959.700465,1179.1839613455,2022-05-02
1651521600000,2022-05-02 20:00:00,1INCH/USD,1.2046,1.2408,1.2044,1.2103,1045.864406,1265.8096905818,2022-05-02
1651518000000,2022-05-02 19:00:00,1INCH/USD,1.1757,1.2151,1.1737,1.2046,2143.655036,2582.2468563656,2022-05-02
1651514400000,2022-05-02 18:00:00,1INCH/USD,1.1657,1.1815,1.1621,1.1757,2484.913035,2921.5122552495,2022-05-02
1651510800000,2022-05-02 17:00:00,1INCH/USD,1.1673,1.1673,1.15,1.1657,1694.035799,1974.7375308943,2022-05-02
1651507200000,2022-05-02 16:00:00,1INCH/USD,1.1775,1.1777,1.1648,1.1673,12341.472309,14406.2006262957,2022-05-02
1651503600000,2022-05-02 15:00:00,1INCH/USD,1.1569,1.1851,1.1569,1.1775,890.630703,1048.7176527825,2022-05-02
1651500000000,2022-05-02 14:00:00,1INCH/USD,1.1552,1.162,1.1378,1.1569,1657.128865,1917.1323839185,2022-05-02
1651496400000,2022-05-02 13:00:00,1INCH/USD,1.1331,1.1565,1.1324,1.1552,1686.505493,1948.2511455136,2022-05-02
1651492800000,2022-05-02 12:00:00,1INCH/USD,1.1285,1.1455,1.1237,1.1331,63.513725,71.9674017975,2022-05-02
1651489200000,2022-05-02 11:00:00,1INCH/USD,1.141,1.1414,1.1237,1.1285,221.69771,250.185865735,2022-05-02
1651485600000,2022-05-02 10:00:00,1INCH/USD,1.1476,1.1484,1.1362,1.141,138.28711,157.78559251,2022-05-02
1651482000000,2022-05-02 09:00:00,1INCH/USD,1.158,1.1661,1.1476,1.1476,441.168226,506.2846561576,2022-05-02
1651478400000,2022-05-02 08:00:00,1INCH/USD,1.1723,1.174,1.1561,1.158,157.34077,182.20061166,2022-05-02
1651474800000,2022-05-02 07:00:00,1INCH/USD,1.1729,1.1848,1.1723,1.1723,539.082765,631.9667254095,2022-05-02
1651471200000,2022-05-02 06:00:00,1INCH/USD,1.175,1.1807,1.1729,1.1729,32.860612,38.542211814800005,2022-05-02
1651467600000,2022-05-02 05:00:00,1INCH/USD,1.1714,1.1807,1.1689,1.175,910.653487,1070.0178472250002,2022-05-02
1651464000000,2022-05-02 04:00:00,1INCH/USD,1.1646,1.1714,1.1576,1.1714,190.497893,223.1492318602,2022-05-02
1651460400000,2022-05-02 03:00:00,1INCH/USD,1.1571,1.1663,1.1566,1.1646,79.273488,92.3219041248,2022-05-02
1651456800000,2022-05-02 02:00:00,1INCH/USD,1.1547,1.1597,1.15,1.1571,2818.428396,3261.2034970116,2022-05-02
1651453200000,2022-05-02 01:00:00,1INCH/USD,1.1709,1.1733,1.1547,1.1547,584.380438,674.7840917586001,2022-05-02
1651449600000,2022-05-02 00:00:00,1INCH/USD,1.1605,1.1721,1.1578,1.1709,1189.459425,1392.7380407325002,2022-05-02
