unix,date,symbol,open,high,low,close,Volume BOND,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,BOND/USD,6.0309,6.0438,6.0194,6.0401,3.406068,20.5729913268,2022-05-03
1651615200000,2022-05-03 22:00:00,BOND/USD,6.0277,6.0311,6.0277,6.0309,0.84364,5.087908476,2022-05-03
1651611600000,2022-05-03 21:00:00,BOND/USD,6.0229,6.0277,6.0186,6.0277,5.842882,35.21913983140001,2022-05-03
1651608000000,2022-05-03 20:00:00,BOND/USD,5.9965,6.023,5.9839,6.0229,2.629406,15.8366493974,2022-05-03
1651604400000,2022-05-03 19:00:00,BOND/USD,5.9902,6.0192,5.9811,5.9965,4.132757,24.7820773505,2022-05-03
1651600800000,2022-05-03 18:00:00,BOND/USD,6.0424,6.0424,5.9863,5.9902,10.125179,60.65184724579999,2022-05-03
1651597200000,2022-05-03 17:00:00,BOND/USD,6.0251,6.0563,5.961,6.0424,1186.747838,7170.8051363312,2022-05-03
1651593600000,2022-05-03 16:00:00,BOND/USD,6.0062,6.2011,5.9916,6.0251,129.822046,782.1908093546,2022-05-03
1651590000000,2022-05-03 15:00:00,BOND/USD,6.0118,6.0222,6.0039,6.0062,4.494952,26.9975807024,2022-05-03
1651586400000,2022-05-03 14:00:00,BOND/USD,6.0393,6.1023,5.9929,6.0118,1092.954362,6570.6230334716,2022-05-03
1651582800000,2022-05-03 13:00:00,BOND/USD,6.0582,6.067,6.0341,6.0393,2.853634,17.2339518162,2022-05-03
1651579200000,2022-05-03 12:00:00,BOND/USD,6.0511,6.0649,6.0309,6.0582,3.147297,19.0669546854,2022-05-03
1651575600000,2022-05-03 11:00:00,BOND/USD,5.9929,6.0511,5.9929,6.0511,49.037072,296.7282263792,2022-05-03
1651572000000,2022-05-03 10:00:00,BOND/USD,6.0259,6.0427,5.9929,5.9929,7.141449,42.7979897121,2022-05-03
1651568400000,2022-05-03 09:00:00,BOND/USD,6.0631,6.0631,6.0251,6.0259,1.859378,11.2044258902,2022-05-03
1651564800000,2022-05-03 08:00:00,BOND/USD,6.0364,6.0741,6.0364,6.0631,414.639527,2514.0009161537,2022-05-03
1651561200000,2022-05-03 07:00:00,BOND/USD,6.0618,6.0715,6.0363,6.0364,1.901021,11.4753231644,2022-05-03
1651557600000,2022-05-03 06:00:00,BOND/USD,6.0756,6.092,6.0513,6.0618,3.009408,18.2424294144,2022-05-03
1651554000000,2022-05-03 05:00:00,BOND/USD,6.091,6.094,6.0324,6.0756,24.19945,147.02617841999998,2022-05-03
1651550400000,2022-05-03 04:00:00,BOND/USD,6.1022,6.1023,6.0582,6.091,2.714977,16.536924907000003,2022-05-03
1651546800000,2022-05-03 03:00:00,BOND/USD,6.056,6.1023,6.0251,6.1022,1.332033,8.1283317726,2022-05-03
1651543200000,2022-05-03 02:00:00,BOND/USD,6.0727,6.0793,6.0251,6.056,92.141726,558.010292656,2022-05-03
1651539600000,2022-05-03 01:00:00,BOND/USD,6.0322,6.0727,6.0085,6.0727,186.108572,1130.1815251844,2022-05-03
1651536000000,2022-05-03 00:00:00,BOND/USD,6.0632,6.067,6.0086,6.0322,62.657154,377.9604843588,2022-05-03
