unix,date,symbol,open,high,low,close,Volume LUSD,Volume USD,just_date
1651532400000,2022-05-02 23:00:00,LUSD/USD,0.999,0.999,0.992,0.992,6.383399,6.332331808,2022-05-02
1651528800000,2022-05-02 22:00:00,LUSD/USD,0.999,0.999,0.999,0.999,47.818725,47.770906275,2022-05-02
1651525200000,2022-05-02 21:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-02
1651521600000,2022-05-02 20:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-02
1651518000000,2022-05-02 19:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-02
1651514400000,2022-05-02 18:00:00,LUSD/USD,0.999,0.999,0.999,0.999,0.0,0.0,2022-05-02
1651510800000,2022-05-02 17:00:00,LUSD/USD,0.992,0.999,0.992,0.999,1.005976,1.004970024,2022-05-02
1651507200000,2022-05-02 16:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651503600000,2022-05-02 15:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651500000000,2022-05-02 14:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651496400000,2022-05-02 13:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651492800000,2022-05-02 12:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651489200000,2022-05-02 11:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651485600000,2022-05-02 10:00:00,LUSD/USD,0.992,0.999,0.992,0.992,93.614262,92.865347904,2022-05-02
1651482000000,2022-05-02 09:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651478400000,2022-05-02 08:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651474800000,2022-05-02 07:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651471200000,2022-05-02 06:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651467600000,2022-05-02 05:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651464000000,2022-05-02 04:00:00,LUSD/USD,0.992,0.992,0.992,0.992,0.0,0.0,2022-05-02
1651460400000,2022-05-02 03:00:00,LUSD/USD,0.995,0.995,0.992,0.992,46.38191,46.01085472,2022-05-02
1651456800000,2022-05-02 02:00:00,LUSD/USD,0.995,0.995,0.995,0.995,0.0,0.0,2022-05-02
1651453200000,2022-05-02 01:00:00,LUSD/USD,0.995,0.995,0.995,0.995,0.0,0.0,2022-05-02
1651449600000,2022-05-02 00:00:00,LUSD/USD,0.995,0.995,0.995,0.995,0.0,0.0,2022-05-02
