unix,date,symbol,open,high,low,close,Volume API3,Volume USD
1651622400000,2022-05-04 00:00:00,API3/USD,3.399,3.483,3.399,3.47,902.727443,3132.46422721
1651618800000,2022-05-03 23:00:00,API3/USD,3.366,3.399,3.345,3.399,767.537473,2608.859870727
1651615200000,2022-05-03 22:00:00,API3/USD,3.381,3.392,3.364,3.366,78.052649,262.725216534
1651611600000,2022-05-03 21:00:00,API3/USD,3.337,3.399,3.329,3.381,190.272909,643.312705329
1651608000000,2022-05-03 20:00:00,API3/USD,3.327,3.337,3.289,3.337,725.752014,2421.8344707180004
1651604400000,2022-05-03 19:00:00,API3/USD,3.404,3.425,3.311,3.327,4022.438353,13382.652400431
1651600800000,2022-05-03 18:00:00,API3/USD,3.458,3.458,3.383,3.404,124.079713,422.367343052
1651597200000,2022-05-03 17:00:00,API3/USD,3.462,3.51,3.45,3.458,597.596665,2066.4892675700003
1651593600000,2022-05-03 16:00:00,API3/USD,3.403,3.511,3.371,3.462,498.869698,1727.0868944760002
1651590000000,2022-05-03 15:00:00,API3/USD,3.414,3.436,3.381,3.403,255.029737,867.8661950110001
1651586400000,2022-05-03 14:00:00,API3/USD,3.428,3.44,3.407,3.414,3389.8036,11572.7894904
1651582800000,2022-05-03 13:00:00,API3/USD,3.55,3.55,3.393,3.428,728.255013,2496.458184564
1651579200000,2022-05-03 12:00:00,API3/USD,3.576,3.587,3.535,3.55,86.950147,308.67302185
1651575600000,2022-05-03 11:00:00,API3/USD,3.481,3.577,3.478,3.576,1590.236769,5686.686685944001
1651572000000,2022-05-03 10:00:00,API3/USD,3.504,3.524,3.481,3.481,1423.70134,4955.90436454
1651568400000,2022-05-03 09:00:00,API3/USD,3.613,3.621,3.504,3.504,428.386575,1501.0665588
1651564800000,2022-05-03 08:00:00,API3/USD,3.6,3.664,3.595,3.613,1156.531559,4178.548522667
1651561200000,2022-05-03 07:00:00,API3/USD,3.596,3.672,3.538,3.6,3332.29935,11996.27766
1651557600000,2022-05-03 06:00:00,API3/USD,3.328,3.622,3.327,3.596,1991.419232,7161.143558272
1651554000000,2022-05-03 05:00:00,API3/USD,3.338,3.338,3.314,3.328,2.05258,6.830986239999999
1651550400000,2022-05-03 04:00:00,API3/USD,3.324,3.338,3.314,3.338,303.655409,1013.601755242
1651546800000,2022-05-03 03:00:00,API3/USD,3.318,3.395,3.318,3.324,123.898777,411.839534748
1651543200000,2022-05-03 02:00:00,API3/USD,3.358,3.373,3.318,3.318,1183.79588,3927.83472984
1651539600000,2022-05-03 01:00:00,API3/USD,3.252,3.381,3.252,3.358,1893.758659,6359.241576922001
1651536000000,2022-05-03 00:00:00,API3/USD,3.217,3.305,3.217,3.252,3371.611036,10964.479089071998
1651532400000,2022-05-02 23:00:00,API3/USD,3.218,3.263,3.217,3.217,4097.731536,13182.402351312
1651528800000,2022-05-02 22:00:00,API3/USD,3.234,3.265,3.217,3.218,268.007818,862.449158324
1651525200000,2022-05-02 21:00:00,API3/USD,3.187,3.234,3.185,3.234,104.549184,338.112061056
1651521600000,2022-05-02 20:00:00,API3/USD,3.207,3.212,3.187,3.187,108.614314,346.153818718
1651518000000,2022-05-02 19:00:00,API3/USD,3.167,3.207,3.166,3.207,153.335227,491.746072989
1651514400000,2022-05-02 18:00:00,API3/USD,3.17,3.182,3.166,3.167,398.316325,1261.467801275
1651510800000,2022-05-02 17:00:00,API3/USD,3.202,3.203,3.17,3.17,4752.149469,15064.31381673
1651507200000,2022-05-02 16:00:00,API3/USD,3.223,3.233,3.202,3.202,8642.939703,27674.692929006
1651503600000,2022-05-02 15:00:00,API3/USD,3.255,3.256,3.217,3.223,2.013424,6.489265552
1651500000000,2022-05-02 14:00:00,API3/USD,3.244,3.255,3.2,3.255,448.816731,1460.898459405
1651496400000,2022-05-02 13:00:00,API3/USD,3.207,3.251,3.16,3.244,822.789336,2669.1286059840004
1651492800000,2022-05-02 12:00:00,API3/USD,3.203,3.247,3.19,3.207,231.915044,743.751546108
1651489200000,2022-05-02 11:00:00,API3/USD,3.199,3.222,3.199,3.203,1993.725116,6385.901546548
1651485600000,2022-05-02 10:00:00,API3/USD,3.256,3.256,3.199,3.199,38.468776,123.06161442399998
1651482000000,2022-05-02 09:00:00,API3/USD,3.275,3.292,3.248,3.256,766.387816,2495.358728896
1651478400000,2022-05-02 08:00:00,API3/USD,3.343,3.343,3.264,3.275,132.871976,435.1557214
1651474800000,2022-05-02 07:00:00,API3/USD,3.321,3.359,3.314,3.343,583.282221,1949.912464803
1651471200000,2022-05-02 06:00:00,API3/USD,3.342,3.355,3.321,3.321,431.914744,1434.388864824
1651467600000,2022-05-02 05:00:00,API3/USD,3.338,3.343,3.32,3.342,166.990553,558.0824281260001
