unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1651622400000,2022-05-04 00:00:00,DAI/USD,0.99961,0.99961,0.99961,0.99961,0.0,0.0
1651618800000,2022-05-03 23:00:00,DAI/USD,0.9999,0.9999,0.99931,0.99961,51102.47947,51082.549503006696
1651615200000,2022-05-03 22:00:00,DAI/USD,0.9999,0.9999,0.9999,0.9999,0.0,0.0
1651611600000,2022-05-03 21:00:00,DAI/USD,1.00022,1.00022,0.99982,0.9999,320.88199,320.849901801
1651608000000,2022-05-03 20:00:00,DAI/USD,0.99982,1.00022,0.99982,1.00022,993.338037,993.55657136814
1651604400000,2022-05-03 19:00:00,DAI/USD,0.99972,1.00042,0.99972,0.99982,96850.78137,96833.3482293534
1651600800000,2022-05-03 18:00:00,DAI/USD,0.9999,0.9999,0.99971,0.99972,8516.044197,8513.659704624839
1651597200000,2022-05-03 17:00:00,DAI/USD,0.99992,1.00018,0.99972,0.9999,111359.91938,111348.783388062
1651593600000,2022-05-03 16:00:00,DAI/USD,0.99991,0.99993,0.99981,0.99992,248.140683,248.12083174536
1651590000000,2022-05-03 15:00:00,DAI/USD,0.9998,0.99993,0.99958,0.99991,20963.135673,20961.24899078943
1651586400000,2022-05-03 14:00:00,DAI/USD,0.99992,0.99993,0.9998,0.9998,509.308794,509.2069322412
1651582800000,2022-05-03 13:00:00,DAI/USD,0.9999,0.99992,0.99961,0.99992,2304.670061,2304.48568739512
1651579200000,2022-05-03 12:00:00,DAI/USD,0.99968,0.9999,0.99958,0.9999,5188.599204,5188.0803440796
1651575600000,2022-05-03 11:00:00,DAI/USD,0.99979,0.99979,0.99968,0.99968,0.12592,0.1258797056
1651572000000,2022-05-03 10:00:00,DAI/USD,0.9999,0.9999,0.99958,0.99979,4000.0,3999.16
1651568400000,2022-05-03 09:00:00,DAI/USD,0.99991,0.99991,0.9999,0.9999,1.0,0.9999
1651564800000,2022-05-03 08:00:00,DAI/USD,0.99991,0.99991,0.99991,0.99991,0.0,0.0
1651561200000,2022-05-03 07:00:00,DAI/USD,0.99991,0.99991,0.99991,0.99991,196.047407,196.02976273337
1651557600000,2022-05-03 06:00:00,DAI/USD,0.99991,0.99991,0.99991,0.99991,0.0,0.0
1651554000000,2022-05-03 05:00:00,DAI/USD,0.9998,0.99991,0.9998,0.99991,300.0,299.973
1651550400000,2022-05-03 04:00:00,DAI/USD,0.99979,0.99991,0.99979,0.9998,196.047407,196.0081975186
1651546800000,2022-05-03 03:00:00,DAI/USD,0.99962,0.9998,0.99962,0.99979,872.473095,872.2898756500499
1651543200000,2022-05-03 02:00:00,DAI/USD,0.99989,0.99989,0.99961,0.99962,15666.62442,15660.6711027204
1651539600000,2022-05-03 01:00:00,DAI/USD,0.9999,0.9999,0.9998,0.99989,788.650391,788.56363945699
1651536000000,2022-05-03 00:00:00,DAI/USD,1.0,1.0,0.99962,0.9999,5093.301403,5092.7920728597
1651532400000,2022-05-02 23:00:00,DAI/USD,0.9999,1.0,0.9999,1.0,1.004975,1.004975
1651528800000,2022-05-02 22:00:00,DAI/USD,0.99988,1.00015,0.99977,0.9999,1509.513562,1509.3626106438
1651525200000,2022-05-02 21:00:00,DAI/USD,0.99964,1.00015,0.99964,0.99988,4095.050497,4094.55909094036
1651521600000,2022-05-02 20:00:00,DAI/USD,0.99991,0.99991,0.99962,0.99964,10008.728735,10005.1255926554
1651518000000,2022-05-02 19:00:00,DAI/USD,1.0,1.00017,0.99971,0.99991,4341.005869,4340.6151784717895
1651514400000,2022-05-02 18:00:00,DAI/USD,0.99979,1.00017,0.99979,1.0,5419.594316,5419.594316
1651510800000,2022-05-02 17:00:00,DAI/USD,0.9999,0.99991,0.99972,0.99979,956.700765,956.49985783935
1651507200000,2022-05-02 16:00:00,DAI/USD,0.99989,1.00018,0.99958,0.9999,87765.235096,87756.4585724904
1651503600000,2022-05-02 15:00:00,DAI/USD,0.99989,0.99989,0.99958,0.99989,10537.342014,10536.18290637846
1651500000000,2022-05-02 14:00:00,DAI/USD,0.99985,0.99989,0.99958,0.99989,9918.064871,9916.97388386419
1651496400000,2022-05-02 13:00:00,DAI/USD,0.99959,0.99985,0.99958,0.99985,27654.313262,27650.1651150107
1651492800000,2022-05-02 12:00:00,DAI/USD,0.99981,0.99986,0.99958,0.99959,24483.816831,24473.77846609929
1651489200000,2022-05-02 11:00:00,DAI/USD,0.99981,0.99988,0.99975,0.99981,1002.932424,1002.74186683944
1651485600000,2022-05-02 10:00:00,DAI/USD,0.99975,0.99981,0.99955,0.99981,103.257233,103.23761412573
1651482000000,2022-05-02 09:00:00,DAI/USD,0.99984,0.99984,0.99975,0.99975,0.235722,0.2356630695
1651478400000,2022-05-02 08:00:00,DAI/USD,0.99987,0.99987,0.99969,0.99984,784.42325,784.29774228
1651474800000,2022-05-02 07:00:00,DAI/USD,0.99987,0.99987,0.99987,0.99987,0.0,0.0
1651471200000,2022-05-02 06:00:00,DAI/USD,0.99986,0.99987,0.99954,0.99987,103.003529,102.99013854123
1651467600000,2022-05-02 05:00:00,DAI/USD,0.99986,0.99988,0.99986,0.99986,735.237043,735.13410981398
1651464000000,2022-05-02 04:00:00,DAI/USD,0.99988,0.99988,0.99954,0.99986,5717.978532,5717.17801500552
1651460400000,2022-05-02 03:00:00,DAI/USD,0.99956,0.99989,0.99956,0.99988,121.768998,121.75438572024
1651456800000,2022-05-02 02:00:00,DAI/USD,0.99988,0.99989,0.99954,0.99956,8170.177914,8166.58303571784
1651453200000,2022-05-02 01:00:00,DAI/USD,0.99987,0.9999,0.99954,0.99988,1523.090254,1522.90748316952
1651449600000,2022-05-02 00:00:00,DAI/USD,0.99987,0.99994,0.99955,0.99987,7014.990979,7014.07903017273
1651446000000,2022-05-01 23:00:00,DAI/USD,0.99991,0.99992,0.99987,0.99987,391.385886,391.33500583482
1651442400000,2022-05-01 22:00:00,DAI/USD,0.99981,0.99992,0.99981,0.99991,1199.409795,1199.30184811845
1651438800000,2022-05-01 21:00:00,DAI/USD,0.9999,0.99991,0.99981,0.99981,60.44021,60.4287263601
1651435200000,2022-05-01 20:00:00,DAI/USD,0.99993,0.99993,0.99955,0.9999,302740.92523,302710.651137477
1651431600000,2022-05-01 19:00:00,DAI/USD,0.99981,0.99993,0.99981,0.99993,3263.150603,3262.92218245779
1651428000000,2022-05-01 18:00:00,DAI/USD,0.99981,0.9999,0.99981,0.99981,256.474701,256.42597080681
1651424400000,2022-05-01 17:00:00,DAI/USD,0.9999,0.9999,0.99981,0.99981,165.690832,165.65935074192
1651420800000,2022-05-01 16:00:00,DAI/USD,0.9999,0.9999,0.99981,0.9999,429.701329,429.6583588671
1651417200000,2022-05-01 15:00:00,DAI/USD,0.99981,0.9999,0.99981,0.9999,953.988428,953.8930291572
1651413600000,2022-05-01 14:00:00,DAI/USD,0.99981,0.99989,0.9998,0.99981,2160.97802,2160.5674341762
1651410000000,2022-05-01 13:00:00,DAI/USD,0.99981,0.99989,0.9998,0.99981,1486.735196,1486.45271631276
1651406400000,2022-05-01 12:00:00,DAI/USD,0.99999,0.99999,0.99981,0.99981,11382.849903,11380.68716151843
1651402800000,2022-05-01 11:00:00,DAI/USD,0.9999,0.99999,0.9999,0.99999,24.875869,24.875620241310003
1651399200000,2022-05-01 10:00:00,DAI/USD,0.99999,0.99999,0.9999,0.9999,48.344608,48.3397735392
1651395600000,2022-05-01 09:00:00,DAI/USD,1.0,1.00018,0.99999,0.99999,106.949052,106.94798250948
1651392000000,2022-05-01 08:00:00,DAI/USD,0.99981,1.00018,0.99981,1.0,1664.9897,1664.9897
1651388400000,2022-05-01 07:00:00,DAI/USD,1.00018,1.00018,0.99981,0.99981,5120.236933,5119.26408798273
1651384800000,2022-05-01 06:00:00,DAI/USD,1.00018,1.00019,0.99981,1.00018,10110.0,10111.8198
1651381200000,2022-05-01 05:00:00,DAI/USD,0.99985,1.00018,0.99985,1.00018,1448.367667,1448.6283731800602
1651377600000,2022-05-01 04:00:00,DAI/USD,0.99985,1.00018,0.99985,0.99985,424.947414,424.8836718879
1651374000000,2022-05-01 03:00:00,DAI/USD,0.99985,0.99985,0.99985,0.99985,0.0,0.0
1651370400000,2022-05-01 02:00:00,DAI/USD,0.99972,0.99985,0.99972,0.99985,212.6238,212.59190643
1651366800000,2022-05-01 01:00:00,DAI/USD,0.99981,1.0,0.99965,0.99972,63261.076021,63243.36291971413
1651363200000,2022-05-01 00:00:00,DAI/USD,1.0003,1.0003,0.9998,0.99981,6738.162181,6736.881930185609
