unix,date,symbol,open,high,low,close,Volume CUBE,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,CUBE/USD,3.4527,3.4607,3.4493,3.4523,651.566925,2249.4044951775,2022-05-01
1651442400000,2022-05-01 22:00:00,CUBE/USD,3.4388,3.4605,3.4382,3.4527,294.970378,1018.4442241206,2022-05-01
1651438800000,2022-05-01 21:00:00,CUBE/USD,3.3717,3.4388,3.3715,3.4388,2508.980344,8627.8816069472,2022-05-01
1651435200000,2022-05-01 20:00:00,CUBE/USD,3.5405,3.5405,3.3574,3.3717,6864.077306,23143.6094526402,2022-05-01
1651431600000,2022-05-01 19:00:00,CUBE/USD,3.6237,3.6237,3.5383,3.5405,2810.668037,9951.1701849985,2022-05-01
1651428000000,2022-05-01 18:00:00,CUBE/USD,3.6215,3.6308,3.6093,3.6237,144.519431,523.6950621147,2022-05-01
1651424400000,2022-05-01 17:00:00,CUBE/USD,3.6308,3.6308,3.6168,3.6215,164.965723,597.4233658445,2022-05-01
1651420800000,2022-05-01 16:00:00,CUBE/USD,3.58,3.6336,3.58,3.6308,557.455075,2024.00788631,2022-05-01
1651417200000,2022-05-01 15:00:00,CUBE/USD,3.5356,3.58,3.5247,3.58,3416.315672,12230.41010576,2022-05-01
1651413600000,2022-05-01 14:00:00,CUBE/USD,3.5656,3.5691,3.5247,3.5356,2774.199591,9808.4600739396,2022-05-01
1651410000000,2022-05-01 13:00:00,CUBE/USD,3.5447,3.5656,3.542,3.5656,1515.962463,5405.3157580728,2022-05-01
1651406400000,2022-05-01 12:00:00,CUBE/USD,3.5221,3.6753,3.5219,3.5447,1882.477135,6672.8167004345005,2022-05-01
1651402800000,2022-05-01 11:00:00,CUBE/USD,3.54,3.5466,3.5,3.5221,866.179934,3050.7723455414,2022-05-01
1651399200000,2022-05-01 10:00:00,CUBE/USD,3.54,3.5417,3.54,3.54,60.812748,215.27712792,2022-05-01
1651395600000,2022-05-01 09:00:00,CUBE/USD,3.5373,3.5549,3.5277,3.54,152.17536,538.7007744,2022-05-01
1651392000000,2022-05-01 08:00:00,CUBE/USD,3.5294,3.5373,3.5293,3.5373,17.803426,62.97605878980001,2022-05-01
1651388400000,2022-05-01 07:00:00,CUBE/USD,3.5277,3.5532,3.5277,3.5294,148.115897,522.7602468718,2022-05-01
1651384800000,2022-05-01 06:00:00,CUBE/USD,3.5297,3.5359,3.5277,3.5277,62.96631,222.126251787,2022-05-01
1651381200000,2022-05-01 05:00:00,CUBE/USD,3.5064,3.5298,3.5051,3.5297,283.840334,1001.8712269198,2022-05-01
1651377600000,2022-05-01 04:00:00,CUBE/USD,3.4735,3.509,3.4713,3.5064,2440.537394,8557.5003183216,2022-05-01
1651374000000,2022-05-01 03:00:00,CUBE/USD,3.4351,3.4772,3.4319,3.4735,589.336028,2047.058693258,2022-05-01
1651370400000,2022-05-01 02:00:00,CUBE/USD,3.4201,3.4353,3.4173,3.4351,1021.078923,3507.5082083973,2022-05-01
1651366800000,2022-05-01 01:00:00,CUBE/USD,3.4132,3.4299,3.4,3.4201,2707.875667,9261.2055687067,2022-05-01
1651363200000,2022-05-01 00:00:00,CUBE/USD,3.4299,3.4337,3.4009,3.4132,1658.1839,5659.71328748,2022-05-01
