unix,date,symbol,open,high,low,close,Volume MPL,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,MPL/USD,50.367,50.649,50.33,50.541,53.405173,2699.150848593,2022-05-01
1651442400000,2022-05-01 22:00:00,MPL/USD,51.487,51.487,50.367,50.367,113.368016,5710.006861872,2022-05-01
1651438800000,2022-05-01 21:00:00,MPL/USD,51.958,52.006,51.378,51.487,171.449395,8827.415000365001,2022-05-01
1651435200000,2022-05-01 20:00:00,MPL/USD,52.498,52.498,51.542,51.958,156.402478,8126.359951924,2022-05-01
1651431600000,2022-05-01 19:00:00,MPL/USD,52.338,52.694,52.332,52.498,89.684345,4708.24874381,2022-05-01
1651428000000,2022-05-01 18:00:00,MPL/USD,53.185,53.185,52.338,52.338,222.583475,11649.57391455,2022-05-01
1651424400000,2022-05-01 17:00:00,MPL/USD,52.66,53.197,52.567,53.185,141.977121,7551.053180385001,2022-05-01
1651420800000,2022-05-01 16:00:00,MPL/USD,53.877,53.878,52.589,52.66,146.440857,7711.575529619999,2022-05-01
1651417200000,2022-05-01 15:00:00,MPL/USD,53.284,54.001,53.243,53.877,49.461293,2664.826082961,2022-05-01
1651413600000,2022-05-01 14:00:00,MPL/USD,53.663,53.663,53.284,53.284,46.727165,2489.81025986,2022-05-01
1651410000000,2022-05-01 13:00:00,MPL/USD,53.382,53.663,53.317,53.663,1.414549,75.908942987,2022-05-01
1651406400000,2022-05-01 12:00:00,MPL/USD,54.195,54.195,53.304,53.382,33.283748,1776.753035736,2022-05-01
1651402800000,2022-05-01 11:00:00,MPL/USD,53.992,54.195,53.726,54.195,83.820453,4542.649450335,2022-05-01
1651399200000,2022-05-01 10:00:00,MPL/USD,53.979,54.332,53.979,53.992,93.737644,5061.082874848,2022-05-01
1651395600000,2022-05-01 09:00:00,MPL/USD,53.614,54.031,53.614,53.979,74.065352,3997.973635608,2022-05-01
1651392000000,2022-05-01 08:00:00,MPL/USD,53.181,53.614,53.081,53.614,84.541286,4532.596507604,2022-05-01
1651388400000,2022-05-01 07:00:00,MPL/USD,52.558,53.184,52.558,53.181,152.589966,8114.886981846,2022-05-01
1651384800000,2022-05-01 06:00:00,MPL/USD,52.369,52.565,52.369,52.558,69.293356,3641.920204648,2022-05-01
1651381200000,2022-05-01 05:00:00,MPL/USD,52.403,52.796,52.369,52.369,116.091666,6079.604456754,2022-05-01
1651377600000,2022-05-01 04:00:00,MPL/USD,52.835,52.997,52.403,52.403,160.40589,8405.74985367,2022-05-01
1651374000000,2022-05-01 03:00:00,MPL/USD,52.861,52.861,52.594,52.835,56.924987,3007.631688145,2022-05-01
1651370400000,2022-05-01 02:00:00,MPL/USD,52.954,52.954,52.842,52.861,56.59933,2991.89718313,2022-05-01
1651366800000,2022-05-01 01:00:00,MPL/USD,52.661,52.954,52.459,52.954,2.472942,130.952170668,2022-05-01
1651363200000,2022-05-01 00:00:00,MPL/USD,53.313,53.313,52.367,52.661,269.956335,14216.170557435002,2022-05-01
