unix,date,symbol,open,high,low,close,Volume ENS,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,ENS/USD,23.783,24.802,23.4,24.372,4968.007453,121080.277644516,2022-05-01
1651442400000,2022-05-01 22:00:00,ENS/USD,22.771,24.502,22.691,23.783,1697.995222,40383.420364826,2022-05-01
1651438800000,2022-05-01 21:00:00,ENS/USD,21.625,23.16,21.435,22.771,975.588773,22215.131949983,2022-05-01
1651435200000,2022-05-01 20:00:00,ENS/USD,21.889,21.889,20.946,21.625,250.918141,5426.104799125,2022-05-01
1651431600000,2022-05-01 19:00:00,ENS/USD,21.475,22.173,21.475,21.889,244.231899,5345.992037211,2022-05-01
1651428000000,2022-05-01 18:00:00,ENS/USD,22.361,22.496,21.391,21.475,1269.440969,27261.244809275,2022-05-01
1651424400000,2022-05-01 17:00:00,ENS/USD,21.83,22.622,21.691,22.361,360.671105,8064.966578905,2022-05-01
1651420800000,2022-05-01 16:00:00,ENS/USD,19.669,22.287,19.669,21.83,1016.981251,22200.70070933,2022-05-01
1651417200000,2022-05-01 15:00:00,ENS/USD,18.957,19.669,18.957,19.669,91.748241,1804.596152229,2022-05-01
1651413600000,2022-05-01 14:00:00,ENS/USD,19.243,19.474,18.957,18.957,398.118339,7547.129352423,2022-05-01
1651410000000,2022-05-01 13:00:00,ENS/USD,19.089,19.669,19.052,19.243,182.719406,3516.069529658,2022-05-01
1651406400000,2022-05-01 12:00:00,ENS/USD,18.9,19.356,18.846,19.089,79.62796,1520.0181284399998,2022-05-01
1651402800000,2022-05-01 11:00:00,ENS/USD,19.669,19.669,18.723,18.9,213.355715,4032.4230135,2022-05-01
1651399200000,2022-05-01 10:00:00,ENS/USD,19.533,19.867,19.339,19.669,60.749681,1194.8854755890002,2022-05-01
1651395600000,2022-05-01 09:00:00,ENS/USD,19.777,20.023,19.436,19.533,66.372216,1296.448495128,2022-05-01
1651392000000,2022-05-01 08:00:00,ENS/USD,19.339,19.867,19.339,19.777,36.764617,727.093830409,2022-05-01
1651388400000,2022-05-01 07:00:00,ENS/USD,19.339,19.484,19.121,19.339,304.244952,5883.793126728,2022-05-01
1651384800000,2022-05-01 06:00:00,ENS/USD,19.665,20.073,19.339,19.339,1595.444819,30854.307354641,2022-05-01
1651381200000,2022-05-01 05:00:00,ENS/USD,19.225,19.835,19.101,19.665,1985.075432,39036.50837028,2022-05-01
1651377600000,2022-05-01 04:00:00,ENS/USD,20.328,20.368,19.015,19.225,193.177032,3713.8284402,2022-05-01
1651374000000,2022-05-01 03:00:00,ENS/USD,20.198,20.573,20.075,20.328,352.502892,7165.678788576,2022-05-01
1651370400000,2022-05-01 02:00:00,ENS/USD,19.976,20.675,19.887,20.198,194.839882,3935.375936636,2022-05-01
1651366800000,2022-05-01 01:00:00,ENS/USD,21.157,21.157,19.446,19.976,1223.567958,24441.993529008,2022-05-01
1651363200000,2022-05-01 00:00:00,ENS/USD,20.513,22.0,20.281,21.157,1773.59097,37523.86415229,2022-05-01
