unix,date,symbol,open,high,low,close,Volume ASH,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,ASH/USD,5.839,5.839,5.839,5.839,0.0,0.0,2022-05-01
1651442400000,2022-05-01 22:00:00,ASH/USD,5.8,5.839,5.8,5.839,4.414586,25.776767654,2022-05-01
1651438800000,2022-05-01 21:00:00,ASH/USD,5.809,5.809,5.8,5.8,0.88706,5.144947999999999,2022-05-01
1651435200000,2022-05-01 20:00:00,ASH/USD,4.553,5.84,4.553,5.809,123.183033,715.570238697,2022-05-01
1651431600000,2022-05-01 19:00:00,ASH/USD,4.553,4.553,4.553,4.553,0.0,0.0,2022-05-01
1651428000000,2022-05-01 18:00:00,ASH/USD,4.553,4.553,4.553,4.553,0.0,0.0,2022-05-01
1651424400000,2022-05-01 17:00:00,ASH/USD,4.544,4.553,4.522,4.553,0.252426,1.1492955779999998,2022-05-01
1651420800000,2022-05-01 16:00:00,ASH/USD,4.758,4.758,4.544,4.544,1.515877,6.888145087999999,2022-05-01
1651417200000,2022-05-01 15:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0,2022-05-01
1651413600000,2022-05-01 14:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.086542,0.4117668359999999,2022-05-01
1651410000000,2022-05-01 13:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.021735,0.10341513,2022-05-01
1651406400000,2022-05-01 12:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0,2022-05-01
1651402800000,2022-05-01 11:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0,2022-05-01
1651399200000,2022-05-01 10:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0,2022-05-01
1651395600000,2022-05-01 09:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0,2022-05-01
1651392000000,2022-05-01 08:00:00,ASH/USD,4.758,4.758,4.758,4.758,0.0,0.0,2022-05-01
1651388400000,2022-05-01 07:00:00,ASH/USD,4.703,4.758,4.703,4.758,0.263131,1.251977298,2022-05-01
1651384800000,2022-05-01 06:00:00,ASH/USD,4.726,4.726,4.703,4.703,0.189141,0.8895301230000001,2022-05-01
1651381200000,2022-05-01 05:00:00,ASH/USD,4.819,4.819,4.726,4.726,0.655828,3.099443128,2022-05-01
1651377600000,2022-05-01 04:00:00,ASH/USD,4.987,4.987,4.819,4.819,1.005156,4.843846763999999,2022-05-01
1651374000000,2022-05-01 03:00:00,ASH/USD,5.06,5.06,4.987,4.987,3.712404,18.513758748,2022-05-01
1651370400000,2022-05-01 02:00:00,ASH/USD,4.947,5.1,4.938,5.06,15.135415,76.58519989999999,2022-05-01
1651366800000,2022-05-01 01:00:00,ASH/USD,4.456,4.972,4.456,4.947,19.581201,96.868201347,2022-05-01
1651363200000,2022-05-01 00:00:00,ASH/USD,4.456,4.456,4.456,4.456,0.0,0.0,2022-05-01
