unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,BTCG/USD,38264.88,38264.88,38264.88,38264.88,0.0,0.0,2022-05-01
1651442400000,2022-05-01 22:00:00,BTCG/USD,38389.46,38438.13,38264.88,38264.88,0.01309153,500.9458244664,2022-05-01
1651438800000,2022-05-01 21:00:00,BTCG/USD,38282.01,38455.0,38282.01,38389.46,0.05378843,2064.9087819478,2022-05-01
1651435200000,2022-05-01 20:00:00,BTCG/USD,37697.76,38282.01,37697.76,38282.01,0.00026029,9.9644243829,2022-05-01
1651431600000,2022-05-01 19:00:00,BTCG/USD,38722.8,38722.8,37697.76,37697.76,0.13560224,5111.900698982401,2022-05-01
1651428000000,2022-05-01 18:00:00,BTCG/USD,38339.26,38722.8,38123.54,38722.8,0.5273528,20420.57700384,2022-05-01
1651424400000,2022-05-01 17:00:00,BTCG/USD,38722.8,38722.8,38339.26,38339.26,0.0348702,1336.897664052,2022-05-01
1651420800000,2022-05-01 16:00:00,BTCG/USD,38663.18,38722.8,38469.17,38722.8,0.00254855,98.68699194,2022-05-01
1651417200000,2022-05-01 15:00:00,BTCG/USD,38139.87,38755.76,38139.87,38663.18,1.07351083,41505.3424522394,2022-05-01
1651413600000,2022-05-01 14:00:00,BTCG/USD,37765.86,38139.87,37765.86,38139.87,0.03289358,1254.5568650346,2022-05-01
1651410000000,2022-05-01 13:00:00,BTCG/USD,37765.86,38139.87,37765.86,37765.86,0.0130168,491.590646448,2022-05-01
1651406400000,2022-05-01 12:00:00,BTCG/USD,37787.2,38139.87,37765.86,37765.86,0.01338523,505.5047222478,2022-05-01
1651402800000,2022-05-01 11:00:00,BTCG/USD,38121.75,38139.87,37787.2,37787.2,0.0135291,511.22680752,2022-05-01
1651399200000,2022-05-01 10:00:00,BTCG/USD,37787.2,38121.75,37787.2,38121.75,0.00192865,73.5235131375,2022-05-01
1651395600000,2022-05-01 09:00:00,BTCG/USD,37933.32,37933.32,37787.2,37787.2,0.00145541,54.995868752,2022-05-01
1651392000000,2022-05-01 08:00:00,BTCG/USD,37933.32,37933.32,37933.32,37933.32,0.0,0.0,2022-05-01
1651388400000,2022-05-01 07:00:00,BTCG/USD,38081.83,38081.83,37933.32,37933.32,0.00753852,285.9610914864,2022-05-01
1651384800000,2022-05-01 06:00:00,BTCG/USD,38081.83,38081.83,38081.83,38081.83,0.0,0.0,2022-05-01
1651381200000,2022-05-01 05:00:00,BTCG/USD,37941.55,38081.83,37941.55,38081.83,0.01898674,723.0498049342,2022-05-01
1651377600000,2022-05-01 04:00:00,BTCG/USD,37898.36,38015.37,37898.36,37941.55,0.04635902,1758.933075281,2022-05-01
1651374000000,2022-05-01 03:00:00,BTCG/USD,38403.52,38403.52,37891.53,37898.36,0.12597126,4774.1041611336,2022-05-01
1651370400000,2022-05-01 02:00:00,BTCG/USD,37436.7,38403.52,37435.16,38403.52,0.00334153,128.3265141856,2022-05-01
1651366800000,2022-05-01 01:00:00,BTCG/USD,38403.52,38403.52,37436.7,37436.7,0.15302723,5728.834501340999,2022-05-01
1651363200000,2022-05-01 00:00:00,BTCG/USD,38403.52,38403.52,37512.51,38403.52,0.0059287,227.682949024,2022-05-01
