unix,date,symbol,open,high,low,close,Volume APE,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,APE/USD,15.863,16.178,15.549,15.873,32226.84056,511536.64020888,2022-05-01
1651442400000,2022-05-01 22:00:00,APE/USD,16.265,16.443,15.532,15.863,56706.570529,899536.328301527,2022-05-01
1651438800000,2022-05-01 21:00:00,APE/USD,16.838,16.92,16.147,16.265,32342.388201,526048.9440892651,2022-05-01
1651435200000,2022-05-01 20:00:00,APE/USD,16.65,16.916,16.224,16.838,11634.26064,195897.68065632,2022-05-01
1651431600000,2022-05-01 19:00:00,APE/USD,16.577,16.841,16.396,16.65,7997.658818,133161.0193197,2022-05-01
1651428000000,2022-05-01 18:00:00,APE/USD,17.116,17.311,16.52,16.577,15539.353722,257595.866649594,2022-05-01
1651424400000,2022-05-01 17:00:00,APE/USD,17.318,17.632,17.037,17.116,36002.062165,616211.29601614,2022-05-01
1651420800000,2022-05-01 16:00:00,APE/USD,16.485,17.518,16.39,17.318,47174.407001,816966.380443318,2022-05-01
1651417200000,2022-05-01 15:00:00,APE/USD,16.18,16.655,16.148,16.485,17984.563402,296475.52768197,2022-05-01
1651413600000,2022-05-01 14:00:00,APE/USD,17.069,17.165,16.026,16.18,38160.638222,617439.12643196,2022-05-01
1651410000000,2022-05-01 13:00:00,APE/USD,17.185,17.336,16.982,17.069,37365.422146,637790.3906100739,2022-05-01
1651406400000,2022-05-01 12:00:00,APE/USD,17.09,17.266,16.824,17.185,8571.341077,147298.49640824497,2022-05-01
1651402800000,2022-05-01 11:00:00,APE/USD,17.429,17.477,16.693,17.09,15192.560654,259640.86157686,2022-05-01
1651399200000,2022-05-01 10:00:00,APE/USD,17.646,17.902,17.261,17.429,7231.347899,126035.162531671,2022-05-01
1651395600000,2022-05-01 09:00:00,APE/USD,17.784,17.865,17.244,17.646,3568.995442,62978.493569532,2022-05-01
1651392000000,2022-05-01 08:00:00,APE/USD,17.493,18.11,17.394,17.784,8185.370012,145568.620293408,2022-05-01
1651388400000,2022-05-01 07:00:00,APE/USD,17.351,17.519,16.971,17.493,12231.58261,213967.07459673,2022-05-01
1651384800000,2022-05-01 06:00:00,APE/USD,17.373,17.677,17.169,17.351,8089.733367,140364.963650817,2022-05-01
1651381200000,2022-05-01 05:00:00,APE/USD,16.871,17.697,16.815,17.373,44345.39889,770412.61491597,2022-05-01
1651377600000,2022-05-01 04:00:00,APE/USD,18.212,18.746,16.538,16.871,111399.370903,1879418.786504513,2022-05-01
1651374000000,2022-05-01 03:00:00,APE/USD,18.656,19.047,18.15,18.212,56946.033674,1037101.165270888,2022-05-01
1651370400000,2022-05-01 02:00:00,APE/USD,18.753,19.171,18.652,18.656,21221.28934,395904.37392704,2022-05-01
1651366800000,2022-05-01 01:00:00,APE/USD,18.919,19.453,18.041,18.753,67149.65181,1259257.42039293,2022-05-01
1651363200000,2022-05-01 00:00:00,APE/USD,20.008,20.303,18.625,18.919,66183.625821,1252128.016907499,2022-05-01
