unix,date,symbol,open,high,low,close,Volume AXS,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,AXS/USD,31.63,32.2,31.46,31.68,135.452242,4291.127026560001,2022-05-01
1651442400000,2022-05-01 22:00:00,AXS/USD,30.85,31.63,30.85,31.63,35.14536,1111.6477367999998,2022-05-01
1651438800000,2022-05-01 21:00:00,AXS/USD,31.11,31.27,30.68,30.85,250.763663,7736.059003550001,2022-05-01
1651435200000,2022-05-01 20:00:00,AXS/USD,30.73,31.11,30.62,31.11,26.480546,823.80978606,2022-05-01
1651431600000,2022-05-01 19:00:00,AXS/USD,30.6,30.95,30.39,30.73,46.626106,1432.82023738,2022-05-01
1651428000000,2022-05-01 18:00:00,AXS/USD,31.57,31.57,30.52,30.6,126.87949,3882.512394,2022-05-01
1651424400000,2022-05-01 17:00:00,AXS/USD,31.99,32.35,31.57,31.57,49.193177,1553.02859789,2022-05-01
1651420800000,2022-05-01 16:00:00,AXS/USD,31.91,32.68,31.82,31.99,187.369484,5993.94979316,2022-05-01
1651417200000,2022-05-01 15:00:00,AXS/USD,30.46,32.02,30.46,31.91,75.260466,2401.56147006,2022-05-01
1651413600000,2022-05-01 14:00:00,AXS/USD,30.7,30.76,30.39,30.46,41.431934,1262.01670964,2022-05-01
1651410000000,2022-05-01 13:00:00,AXS/USD,30.8,31.01,30.7,30.7,33.463215,1027.3207005,2022-05-01
1651406400000,2022-05-01 12:00:00,AXS/USD,30.67,31.2,30.46,30.8,221.464989,6821.1216612,2022-05-01
1651402800000,2022-05-01 11:00:00,AXS/USD,31.33,31.36,30.67,30.67,40.915347,1254.87369249,2022-05-01
1651399200000,2022-05-01 10:00:00,AXS/USD,31.24,31.62,31.2,31.33,17.165772,537.80363676,2022-05-01
1651395600000,2022-05-01 09:00:00,AXS/USD,31.72,31.72,31.03,31.24,7.343379,229.40715996,2022-05-01
1651392000000,2022-05-01 08:00:00,AXS/USD,30.91,31.83,30.91,31.72,42.643936,1352.66564992,2022-05-01
1651388400000,2022-05-01 07:00:00,AXS/USD,31.0,31.11,30.79,30.91,30.986783,957.80146253,2022-05-01
1651384800000,2022-05-01 06:00:00,AXS/USD,31.44,31.78,30.9,31.0,16.859753,522.6523430000001,2022-05-01
1651381200000,2022-05-01 05:00:00,AXS/USD,30.08,32.31,30.08,31.44,89.875805,2825.6953092,2022-05-01
1651377600000,2022-05-01 04:00:00,AXS/USD,30.17,30.26,29.91,30.08,226.527298,6813.94112384,2022-05-01
1651374000000,2022-05-01 03:00:00,AXS/USD,29.92,30.48,29.92,30.17,185.826739,5606.392715630001,2022-05-01
1651370400000,2022-05-01 02:00:00,AXS/USD,29.04,30.11,29.0,29.92,198.606132,5942.2954694400005,2022-05-01
1651366800000,2022-05-01 01:00:00,AXS/USD,28.67,29.31,27.94,29.04,271.032891,7870.79515464,2022-05-01
1651363200000,2022-05-01 00:00:00,AXS/USD,29.07,29.45,28.4,28.67,113.872377,3264.72104859,2022-05-01
