unix,date,symbol,open,high,low,close,Volume RAY,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,RAY/USD,2.126,2.13,2.113,2.13,1.116448,2.3780342400000003,2022-05-03
1651615200000,2022-05-03 22:00:00,RAY/USD,2.133,2.137,2.125,2.126,4.93767,10.49748642,2022-05-03
1651611600000,2022-05-03 21:00:00,RAY/USD,2.115,2.138,2.115,2.133,20.550305,43.833800565,2022-05-03
1651608000000,2022-05-03 20:00:00,RAY/USD,2.115,2.117,2.104,2.115,5.323752,11.259735480000002,2022-05-03
1651604400000,2022-05-03 19:00:00,RAY/USD,2.128,2.129,2.108,2.115,4.67607,9.88988805,2022-05-03
1651600800000,2022-05-03 18:00:00,RAY/USD,2.168,2.168,2.128,2.128,2.465506,5.246596768,2022-05-03
1651597200000,2022-05-03 17:00:00,RAY/USD,2.169,2.181,2.166,2.168,4.39608,9.53070144,2022-05-03
1651593600000,2022-05-03 16:00:00,RAY/USD,2.186,2.19,2.161,2.169,3.692647,8.009351343,2022-05-03
1651590000000,2022-05-03 15:00:00,RAY/USD,2.193,2.195,2.179,2.186,11.668034,25.506322324,2022-05-03
1651586400000,2022-05-03 14:00:00,RAY/USD,2.196,2.207,2.189,2.193,23.083235,50.621534355,2022-05-03
1651582800000,2022-05-03 13:00:00,RAY/USD,2.225,2.225,2.196,2.196,6.300206,13.835252376,2022-05-03
1651579200000,2022-05-03 12:00:00,RAY/USD,2.243,2.243,2.222,2.225,4.428986,9.85449385,2022-05-03
1651575600000,2022-05-03 11:00:00,RAY/USD,2.206,2.243,2.206,2.243,3.115342,6.987712106,2022-05-03
1651572000000,2022-05-03 10:00:00,RAY/USD,2.232,2.232,2.206,2.206,1.823169,4.021910814,2022-05-03
1651568400000,2022-05-03 09:00:00,RAY/USD,2.254,2.254,2.229,2.232,1.662016,3.709619712,2022-05-03
1651564800000,2022-05-03 08:00:00,RAY/USD,2.244,2.254,2.216,2.254,1.872298,4.220159692,2022-05-03
1651561200000,2022-05-03 07:00:00,RAY/USD,2.256,2.256,2.23,2.244,38.661092,86.755490448,2022-05-03
1651557600000,2022-05-03 06:00:00,RAY/USD,2.245,2.256,2.226,2.256,124.483127,280.833934512,2022-05-03
1651554000000,2022-05-03 05:00:00,RAY/USD,2.212,2.245,2.197,2.245,6.438646,14.45476027,2022-05-03
1651550400000,2022-05-03 04:00:00,RAY/USD,2.199,2.212,2.194,2.212,0.859347,1.900875564,2022-05-03
1651546800000,2022-05-03 03:00:00,RAY/USD,2.181,2.204,2.181,2.199,0.715518,1.5734240819999998,2022-05-03
1651543200000,2022-05-03 02:00:00,RAY/USD,2.191,2.192,2.176,2.181,2.776788,6.056174628,2022-05-03
1651539600000,2022-05-03 01:00:00,RAY/USD,2.16,2.191,2.16,2.191,2.820862,6.180508642,2022-05-03
1651536000000,2022-05-03 00:00:00,RAY/USD,2.169,2.171,2.159,2.16,14.034054,30.31355664,2022-05-03
