unix,date,symbol,open,high,low,close,Volume CTX,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,CTX/USD,4.9144,5.3968,4.9144,5.3044,2639.07809,13998.725820596,2022-05-01
1651442400000,2022-05-01 22:00:00,CTX/USD,4.8821,4.9354,4.8811,4.9144,26.700633,131.2175908152,2022-05-01
1651438800000,2022-05-01 21:00:00,CTX/USD,4.9119,4.9145,4.8696,4.8821,190.058638,927.8852765798,2022-05-01
1651435200000,2022-05-01 20:00:00,CTX/USD,4.8686,4.912,4.8391,4.9119,50.705904,249.0623298576,2022-05-01
1651431600000,2022-05-01 19:00:00,CTX/USD,4.8604,4.8686,4.8341,4.8686,30.205076,147.0564330136,2022-05-01
1651428000000,2022-05-01 18:00:00,CTX/USD,4.8494,4.8604,4.8319,4.8604,11.223473,54.550568169200005,2022-05-01
1651424400000,2022-05-01 17:00:00,CTX/USD,4.7502,4.8793,4.7277,4.8494,2788.985608,13524.9068074352,2022-05-01
1651420800000,2022-05-01 16:00:00,CTX/USD,4.7353,4.7569,4.7109,4.7502,202.499695,961.914051189,2022-05-01
1651417200000,2022-05-01 15:00:00,CTX/USD,4.6585,4.7496,4.6585,4.7353,15.867034,75.1351661002,2022-05-01
1651413600000,2022-05-01 14:00:00,CTX/USD,4.6255,4.7712,4.5693,4.6585,8926.476616,41583.991315636,2022-05-01
1651410000000,2022-05-01 13:00:00,CTX/USD,4.9812,4.9812,4.2609,4.6255,16346.153597,75609.13346292349,2022-05-01
1651406400000,2022-05-01 12:00:00,CTX/USD,4.9944,4.9944,4.9503,4.9812,59.610795,296.93329205400005,2022-05-01
1651402800000,2022-05-01 11:00:00,CTX/USD,4.9827,4.9944,4.9587,4.9944,97.907415,488.988793476,2022-05-01
1651399200000,2022-05-01 10:00:00,CTX/USD,5.0112,5.0112,4.9739,4.9827,163.565887,814.9997451549001,2022-05-01
1651395600000,2022-05-01 09:00:00,CTX/USD,4.9698,5.0112,4.9698,5.0112,0.400975,2.00936592,2022-05-01
1651392000000,2022-05-01 08:00:00,CTX/USD,4.956,5.0108,4.956,4.9698,196.018998,974.1752162604,2022-05-01
1651388400000,2022-05-01 07:00:00,CTX/USD,4.9859,4.9859,4.956,4.956,7.146008,35.415615648000006,2022-05-01
1651384800000,2022-05-01 06:00:00,CTX/USD,4.975,4.9859,4.9623,4.9859,2.189519,10.9167227821,2022-05-01
1651381200000,2022-05-01 05:00:00,CTX/USD,4.9767,4.9767,4.9398,4.975,71.366872,355.0501882,2022-05-01
1651377600000,2022-05-01 04:00:00,CTX/USD,4.9225,4.9966,4.8751,4.9767,2645.35752,13165.150769784,2022-05-01
1651374000000,2022-05-01 03:00:00,CTX/USD,4.9465,4.9465,4.8902,4.9225,585.313875,2881.2075496875004,2022-05-01
1651370400000,2022-05-01 02:00:00,CTX/USD,4.9211,4.955,4.9211,4.9465,143.516951,709.9065981215001,2022-05-01
1651366800000,2022-05-01 01:00:00,CTX/USD,4.9869,4.9869,4.921,4.9211,128.388697,631.8136168067,2022-05-01
1651363200000,2022-05-01 00:00:00,CTX/USD,5.0001,5.0001,4.966,4.9869,77.670707,387.3360487383,2022-05-01
