unix,date,symbol,open,high,low,close,Volume FRAX,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651442400000,2022-05-01 22:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651438800000,2022-05-01 21:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651435200000,2022-05-01 20:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651431600000,2022-05-01 19:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651428000000,2022-05-01 18:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651424400000,2022-05-01 17:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651420800000,2022-05-01 16:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651417200000,2022-05-01 15:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651413600000,2022-05-01 14:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651410000000,2022-05-01 13:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651406400000,2022-05-01 12:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651402800000,2022-05-01 11:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651399200000,2022-05-01 10:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651395600000,2022-05-01 09:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651392000000,2022-05-01 08:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651388400000,2022-05-01 07:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651384800000,2022-05-01 06:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651381200000,2022-05-01 05:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651377600000,2022-05-01 04:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651374000000,2022-05-01 03:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651370400000,2022-05-01 02:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651366800000,2022-05-01 01:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
1651363200000,2022-05-01 00:00:00,FRAX/USD,0,0,0,0,0,0,2022-05-01
