unix,date,symbol,open,high,low,close,Volume LQTY,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,LQTY/USD,1.667,1.667,1.656,1.656,314.602409,520.9815893040001,2022-05-01
1651442400000,2022-05-01 22:00:00,LQTY/USD,1.66,1.687,1.66,1.667,813.8829,1356.7427943,2022-05-01
1651438800000,2022-05-01 21:00:00,LQTY/USD,1.616,1.661,1.616,1.66,518.953227,861.4623568199999,2022-05-01
1651435200000,2022-05-01 20:00:00,LQTY/USD,1.551,1.616,1.551,1.616,3217.897434,5200.1222533440005,2022-05-01
1651431600000,2022-05-01 19:00:00,LQTY/USD,1.527,1.551,1.527,1.551,96.80877,150.15040227,2022-05-01
1651428000000,2022-05-01 18:00:00,LQTY/USD,1.54,1.555,1.527,1.527,4253.351368,6494.867538935999,2022-05-01
1651424400000,2022-05-01 17:00:00,LQTY/USD,1.533,1.54,1.533,1.54,0.652454,1.00477916,2022-05-01
1651420800000,2022-05-01 16:00:00,LQTY/USD,1.517,1.533,1.517,1.533,682.966015,1046.9869009949998,2022-05-01
1651417200000,2022-05-01 15:00:00,LQTY/USD,1.484,1.517,1.484,1.517,2.71635,4.120702949999999,2022-05-01
1651413600000,2022-05-01 14:00:00,LQTY/USD,1.481,1.484,1.481,1.484,26.375158,39.140734472,2022-05-01
1651410000000,2022-05-01 13:00:00,LQTY/USD,1.481,1.481,1.481,1.481,0.0,0.0,2022-05-01
1651406400000,2022-05-01 12:00:00,LQTY/USD,1.482,1.482,1.481,1.481,33.950972,50.281389532000006,2022-05-01
1651402800000,2022-05-01 11:00:00,LQTY/USD,1.482,1.482,1.482,1.482,0.0,0.0,2022-05-01
1651399200000,2022-05-01 10:00:00,LQTY/USD,1.521,1.521,1.482,1.482,66.933065,99.19480233,2022-05-01
1651395600000,2022-05-01 09:00:00,LQTY/USD,1.556,1.556,1.521,1.521,63.446697,96.502426137,2022-05-01
1651392000000,2022-05-01 08:00:00,LQTY/USD,1.556,1.556,1.556,1.556,0.0,0.0,2022-05-01
1651388400000,2022-05-01 07:00:00,LQTY/USD,1.557,1.558,1.556,1.556,615.34261,957.47310116,2022-05-01
1651384800000,2022-05-01 06:00:00,LQTY/USD,1.508,1.573,1.5,1.557,5957.875622,9276.412343454,2022-05-01
1651381200000,2022-05-01 05:00:00,LQTY/USD,1.508,1.508,1.508,1.508,0.0,0.0,2022-05-01
1651377600000,2022-05-01 04:00:00,LQTY/USD,1.508,1.508,1.508,1.508,0.0,0.0,2022-05-01
1651374000000,2022-05-01 03:00:00,LQTY/USD,1.508,1.508,1.508,1.508,0.0,0.0,2022-05-01
1651370400000,2022-05-01 02:00:00,LQTY/USD,1.528,1.528,1.492,1.508,1529.722787,2306.821962796,2022-05-01
1651366800000,2022-05-01 01:00:00,LQTY/USD,1.541,1.547,1.527,1.528,511.198111,781.110713608,2022-05-01
1651363200000,2022-05-01 00:00:00,LQTY/USD,1.532,1.548,1.532,1.541,2362.084717,3639.972548897,2022-05-01
