unix,date,symbol,open,high,low,close,Volume RAY,Volume USD,just_date
1651446000000,2022-05-01 23:00:00,RAY/USD,2.197,2.228,2.197,2.223,3.130248,6.958541304,2022-05-01
1651442400000,2022-05-01 22:00:00,RAY/USD,2.197,2.205,2.188,2.197,577.572104,1268.925912488,2022-05-01
1651438800000,2022-05-01 21:00:00,RAY/USD,2.196,2.198,2.192,2.197,1.675014,3.680005758,2022-05-01
1651435200000,2022-05-01 20:00:00,RAY/USD,2.173,2.196,2.171,2.196,3.188105,7.001078580000001,2022-05-01
1651431600000,2022-05-01 19:00:00,RAY/USD,2.176,2.182,2.158,2.173,23.635657,51.360282661,2022-05-01
1651428000000,2022-05-01 18:00:00,RAY/USD,2.209,2.209,2.173,2.176,42.297449,92.039249024,2022-05-01
1651424400000,2022-05-01 17:00:00,RAY/USD,2.224,2.234,2.206,2.209,6.459941,14.270009669,2022-05-01
1651420800000,2022-05-01 16:00:00,RAY/USD,2.215,2.231,2.209,2.224,8.167295,18.16406408,2022-05-01
1651417200000,2022-05-01 15:00:00,RAY/USD,2.178,2.222,2.177,2.215,1856.90578,4113.0463027,2022-05-01
1651413600000,2022-05-01 14:00:00,RAY/USD,2.184,2.191,2.16,2.178,9.303616,20.263275648,2022-05-01
1651410000000,2022-05-01 13:00:00,RAY/USD,2.176,2.199,2.17,2.184,1.548636,3.382221024,2022-05-01
1651406400000,2022-05-01 12:00:00,RAY/USD,2.176,2.188,2.172,2.176,6.198121,13.487111296000002,2022-05-01
1651402800000,2022-05-01 11:00:00,RAY/USD,2.188,2.189,2.173,2.176,6.613538,14.391058688,2022-05-01
1651399200000,2022-05-01 10:00:00,RAY/USD,2.191,2.191,2.18,2.188,6.834471,14.953822548,2022-05-01
1651395600000,2022-05-01 09:00:00,RAY/USD,2.172,2.2,2.15,2.191,33.991182,74.474679762,2022-05-01
1651392000000,2022-05-01 08:00:00,RAY/USD,2.154,2.172,2.154,2.172,4.142187,8.996830164,2022-05-01
1651388400000,2022-05-01 07:00:00,RAY/USD,2.137,2.158,2.137,2.154,12.496053,26.916498162,2022-05-01
1651384800000,2022-05-01 06:00:00,RAY/USD,2.133,2.155,2.133,2.137,6.625431,14.158546047,2022-05-01
1651381200000,2022-05-01 05:00:00,RAY/USD,2.07,2.136,2.07,2.133,22.168609,47.285642997,2022-05-01
1651377600000,2022-05-01 04:00:00,RAY/USD,2.072,2.078,2.057,2.07,104.965385,217.27834695,2022-05-01
1651374000000,2022-05-01 03:00:00,RAY/USD,2.057,2.072,2.057,2.072,6.435087,13.333500264,2022-05-01
1651370400000,2022-05-01 02:00:00,RAY/USD,2.071,2.075,2.056,2.057,15.748402,32.394462914,2022-05-01
1651366800000,2022-05-01 01:00:00,RAY/USD,2.07,2.083,2.033,2.071,197.419091,408.8549374610001,2022-05-01
1651363200000,2022-05-01 00:00:00,RAY/USD,2.087,2.098,2.045,2.07,107.336854,222.18728778,2022-05-01
