unix,date,symbol,open,high,low,close,Volume LQTY,Volume USD,just_date
1651618800000,2022-05-03 23:00:00,LQTY/USD,1.534,1.534,1.534,1.534,0.0,0.0,2022-05-03
1651615200000,2022-05-03 22:00:00,LQTY/USD,1.529,1.534,1.529,1.534,95.337224,146.24730161600002,2022-05-03
1651611600000,2022-05-03 21:00:00,LQTY/USD,1.537,1.537,1.529,1.529,34.361488,52.538715152,2022-05-03
1651608000000,2022-05-03 20:00:00,LQTY/USD,1.537,1.537,1.537,1.537,0.03,0.04611,2022-05-03
1651604400000,2022-05-03 19:00:00,LQTY/USD,1.563,1.563,1.536,1.537,841.047204,1292.689552548,2022-05-03
1651600800000,2022-05-03 18:00:00,LQTY/USD,1.563,1.563,1.563,1.563,0.0,0.0,2022-05-03
1651597200000,2022-05-03 17:00:00,LQTY/USD,1.557,1.573,1.557,1.563,3886.642614,6074.822405682,2022-05-03
1651593600000,2022-05-03 16:00:00,LQTY/USD,1.557,1.557,1.557,1.557,0.0,0.0,2022-05-03
1651590000000,2022-05-03 15:00:00,LQTY/USD,1.557,1.557,1.557,1.557,0.0,0.0,2022-05-03
1651586400000,2022-05-03 14:00:00,LQTY/USD,1.553,1.557,1.553,1.557,0.26446,0.4117642199999999,2022-05-03
1651582800000,2022-05-03 13:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0,2022-05-03
1651579200000,2022-05-03 12:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0,2022-05-03
1651575600000,2022-05-03 11:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0,2022-05-03
1651572000000,2022-05-03 10:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0,2022-05-03
1651568400000,2022-05-03 09:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0,2022-05-03
1651564800000,2022-05-03 08:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0,2022-05-03
1651561200000,2022-05-03 07:00:00,LQTY/USD,1.553,1.553,1.553,1.553,0.0,0.0,2022-05-03
1651557600000,2022-05-03 06:00:00,LQTY/USD,1.556,1.556,1.553,1.553,310.001897,481.432946041,2022-05-03
1651554000000,2022-05-03 05:00:00,LQTY/USD,1.557,1.557,1.556,1.556,275.127377,428.098198612,2022-05-03
1651550400000,2022-05-03 04:00:00,LQTY/USD,1.591,1.591,1.555,1.557,4192.028731,6526.988734167,2022-05-03
1651546800000,2022-05-03 03:00:00,LQTY/USD,1.59,1.591,1.59,1.591,60.669168,96.524646288,2022-05-03
1651543200000,2022-05-03 02:00:00,LQTY/USD,1.59,1.59,1.59,1.59,0.0,0.0,2022-05-03
1651539600000,2022-05-03 01:00:00,LQTY/USD,1.552,1.59,1.552,1.59,41.480316,65.95370244,2022-05-03
1651536000000,2022-05-03 00:00:00,LQTY/USD,1.552,1.552,1.552,1.552,0.0,0.0,2022-05-03
